time_betw_scan_hours,CA,YM,Class,cluster normalized - 4 clusters,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
1049.000,2.590,6.147,1.000,2.000,0.269,0.336,0.791,0.726,0.379,0.146,0.546,0.251,0.705,0.554
1579.000,2.000,5.000,1.000,2.000,0.236,0.430,0.880,0.902,0.281,0.066,0.749,0.587,0.614,0.392
3118.000,2.000,7.000,1.000,2.000,0.179,0.701,0.827,0.879,0.142,0.071,0.796,0.418,0.705,0.486
3813.000,3.000,6.000,1.000,2.000,0.311,0.393,0.877,0.908,0.228,0.066,0.766,0.727,0.864,0.649
1067.000,3.000,6.000,1.000,2.000,0.288,0.374,0.805,0.905,0.270,0.126,0.887,0.770,0.727,0.676
2448.000,3.000,6.000,1.000,2.000,0.283,0.383,0.739,0.793,0.247,0.101,0.774,0.664,0.879,0.595
1376.000,3.000,6.000,1.000,2.000,0.307,0.542,0.841,0.859,0.253,0.091,0.729,0.408,0.773,0.541
1562.000,2.501,6.000,1.000,2.000,0.302,0.523,0.816,0.871,0.391,0.066,0.799,0.402,0.818,0.595
1565.000,3.000,6.000,1.000,2.000,0.274,0.411,0.801,0.856,0.462,0.020,0.794,0.534,0.758,0.608
2622.000,3.000,6.000,1.000,3.000,0.330,0.393,0.698,0.653,0.466,0.172,0.557,0.378,0.902,0.622
4478.000,3.000,7.034,1.000,2.000,0.264,0.430,0.833,0.853,0.397,0.152,0.730,0.352,0.894,0.622
410.000,2.000,6.000,1.000,1.000,0.226,0.346,0.627,0.579,0.438,0.116,0.532,0.480,0.583,0.608
2696.000,2.000,6.000,1.000,2.000,0.278,0.551,0.841,0.889,0.280,0.071,0.792,0.244,0.864,0.649
503.000,3.000,6.000,1.000,2.000,0.288,0.402,0.757,0.808,0.294,0.152,0.773,0.714,0.538,0.581
1610.000,3.000,6.000,1.000,2.000,0.245,0.374,0.787,0.805,0.193,0.071,0.713,0.288,0.788,0.622
9693.000,3.000,6.000,1.000,2.000,0.288,0.430,0.803,0.804,0.308,0.116,0.683,0.531,0.742,0.608
5835.000,3.000,6.000,1.000,3.000,0.269,0.393,0.695,0.711,0.450,0.106,0.684,0.286,0.917,0.635
6814.000,3.000,6.000,1.000,2.000,0.274,0.486,0.811,0.851,0.283,0.126,0.765,0.555,0.848,0.635
3215.000,2.000,6.000,1.000,2.000,0.255,0.645,0.787,0.831,0.147,0.227,0.769,0.561,0.568,0.662
61.000,3.000,6.000,1.000,3.000,0.269,0.402,0.837,0.814,0.484,0.071,0.645,0.459,0.629,0.622
1036.000,2.360,6.000,1.000,2.000,0.274,0.486,0.851,0.853,0.356,0.096,0.700,0.398,0.720,0.581
1285.000,2.681,7.000,1.000,2.000,0.184,0.523,0.786,0.734,0.241,0.232,0.569,0.285,0.856,0.703
1568.000,3.000,6.000,1.000,2.000,0.264,0.327,0.835,0.898,0.355,0.071,0.822,0.516,0.841,0.608
1660.000,3.000,6.000,1.000,2.000,0.274,0.421,0.795,0.815,0.281,0.146,0.721,0.619,0.742,0.486
8446.000,2.619,7.000,1.000,2.000,0.203,0.551,0.820,0.847,0.139,0.207,0.742,0.545,0.773,0.595
