time_betw_scan_hours,CA,YM,Class,dea_eff,cluster efficency - 4 clusters,cluster normalized - 4 clusters,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
6893.000,2.581,5.627,1.000,0.520,3.000,1.000,0.119,0.018,0.562,0.070,0.038,0.032
5427.000,2.500,6.221,1.000,0.670,2.000,1.000,0.114,0.000,0.545,0.225,0.000,0.000
669.000,2.929,6.135,1.000,0.630,3.000,0.000,0.162,0.281,0.044,0.272,0.109,0.429
1348.000,2.770,5.617,1.000,0.400,1.000,1.000,0.157,0.193,0.172,0.262,0.038,0.196
184.000,2.620,6.681,1.000,0.470,1.000,2.000,0.151,0.368,0.538,0.426,0.082,0.007
1277.000,2.679,6.377,1.000,0.630,3.000,1.000,0.141,0.070,0.583,0.299,0.011,0.010
7252.000,2.602,6.810,1.000,0.250,1.000,1.000,0.200,0.211,0.410,0.320,0.093,0.030
5473.000,2.630,5.875,1.000,0.530,3.000,1.000,0.130,0.228,0.489,0.263,0.038,0.131
1001.000,2.919,6.633,1.000,0.600,3.000,1.000,0.151,0.088,0.446,0.325,0.093,0.076
1946.000,2.384,5.979,1.000,0.530,3.000,1.000,0.178,0.246,0.533,0.389,0.033,0.051
1898.000,2.776,6.245,1.000,0.480,1.000,1.000,0.151,0.193,0.467,0.119,0.011,0.085
2697.000,2.639,5.739,1.000,0.560,3.000,1.000,0.043,0.018,0.392,0.213,0.022,0.010
2496.000,2.889,5.635,1.000,0.430,1.000,2.000,0.124,0.351,0.537,0.344,0.033,0.012
8176.000,2.887,6.491,1.000,0.540,3.000,1.000,0.135,0.000,0.606,0.196,0.033,0.128
1436.000,2.587,6.338,1.000,0.590,3.000,1.000,0.108,0.263,0.540,0.177,0.169,0.425
2913.000,2.460,6.319,1.000,0.570,3.000,1.000,0.124,0.246,0.495,0.348,0.038,0.048
1680.000,2.698,5.893,1.000,0.420,1.000,2.000,0.135,0.491,0.518,0.194,0.016,0.028
519.000,2.862,5.933,1.000,0.600,3.000,1.000,0.114,0.140,0.350,0.149,0.055,0.065
35.000,2.649,6.506,1.000,0.570,3.000,1.000,0.146,0.175,0.546,0.177,0.022,0.017
2427.000,2.634,5.896,1.000,0.600,3.000,1.000,0.184,0.211,0.557,0.075,0.000,0.035
1653.000,2.538,5.707,1.000,0.540,3.000,1.000,0.146,0.140,0.543,0.025,0.011,0.018
7.000,2.516,6.135,1.000,0.480,1.000,1.000,0.146,0.351,0.508,0.174,0.005,0.243
1536.000,2.402,5.832,1.000,0.490,1.000,1.000,0.173,0.175,0.568,0.088,0.049,0.010
1496.000,2.680,6.009,1.000,0.550,3.000,1.000,0.092,0.246,0.406,0.238,0.022,0.051
1284.000,2.728,6.093,1.000,0.400,1.000,0.000,0.119,0.175,0.041,0.013,0.120,0.186
4015.000,2.604,6.067,1.000,0.570,3.000,1.000,0.151,0.070,0.478,0.072,0.011,0.017
1165.000,2.466,5.811,1.000,0.530,3.000,1.000,0.162,0.035,0.351,0.060,0.055,0.146
8912.000,2.707,6.312,1.000,0.550,3.000,1.000,0.200,0.035,0.432,0.097,0.082,0.070
4249.000,2.490,5.795,1.000,0.500,3.000,3.000,0.141,0.088,0.502,0.407,0.022,0.125
7101.000,2.602,6.608,1.000,0.590,3.000,3.000,0.135,0.158,0.328,0.404,0.169,0.145
1710.000,2.789,5.761,1.000,0.570,3.000,1.000,0.168,0.018,0.530,0.127,0.049,0.017
11546.000,2.750,6.095,1.000,0.660,2.000,1.000,0.173,0.281,0.531,0.192,0.011,0.003
1277.000,2.438,6.275,1.000,0.500,3.000,1.000,0.162,0.018,0.531,0.020,0.038,0.035
2021.000,2.527,6.862,1.000,0.560,3.000,3.000,0.130,0.193,0.538,0.405,0.137,0.032
1536.000,2.550,6.334,1.000,0.630,3.000,1.000,0.195,0.193,0.515,0.328,0.044,0.060
18562.000,2.955,6.929,1.000,0.470,1.000,1.000,0.076,0.193,0.545,0.154,0.082,0.007
1905.000,2.540,5.691,1.000,0.450,1.000,1.000,0.146,0.070,0.579,0.238,0.011,0.023
1497.000,2.507,5.852,1.000,0.600,3.000,0.000,0.141,0.035,0.193,0.142,0.148,0.238
2771.000,2.796,6.187,1.000,0.360,1.000,1.000,0.162,0.193,0.491,0.180,0.066,0.048
3284.000,2.477,5.614,1.000,0.540,3.000,1.000,0.189,0.105,0.533,0.117,0.038,0.047
1312.000,2.431,5.974,1.000,0.540,3.000,1.000,0.162,0.105,0.477,0.104,0.044,0.032
5484.000,2.644,6.125,1.000,0.540,3.000,1.000,0.195,0.070,0.471,0.076,0.093,0.151
996.000,2.518,5.850,1.000,0.480,1.000,1.000,0.135,0.053,0.508,0.056,0.027,0.100
634.000,2.638,7.131,1.000,0.500,3.000,1.000,0.222,0.263,0.448,0.273,0.257,0.013
1326.000,2.312,6.270,1.000,0.520,3.000,1.000,0.178,0.263,0.480,0.097,0.005,0.078
1568.000,2.507,6.085,1.000,0.600,3.000,1.000,0.141,0.123,0.515,0.053,0.005,0.118
1541.000,2.727,6.162,1.000,0.600,3.000,0.000,0.141,0.035,0.036,0.272,0.066,0.236
1458.000,2.941,5.749,1.000,0.630,3.000,1.000,0.157,0.158,0.484,0.154,0.027,0.068
1500.000,2.361,5.431,1.000,0.530,3.000,1.000,0.151,0.140,0.518,0.107,0.033,0.066
106.000,2.575,5.955,1.000,0.570,3.000,1.000,0.168,0.140,0.343,0.111,0.055,0.110
2858.000,2.371,6.108,1.000,0.570,3.000,1.000,0.141,0.035,0.359,0.111,0.077,0.101
1491.000,2.700,6.298,1.000,0.290,1.000,1.000,0.227,0.105,0.530,0.309,0.087,0.055
10358.000,2.239,6.358,1.000,0.550,3.000,1.000,0.189,0.140,0.582,0.179,0.060,0.038
1871.000,2.519,6.056,1.000,0.550,3.000,1.000,0.124,0.088,0.519,0.099,0.016,0.008
1424.000,2.725,6.443,1.000,0.470,1.000,1.000,0.168,0.053,0.259,0.001,0.104,0.037
4624.000,2.466,6.148,1.000,0.460,1.000,1.000,0.135,0.228,0.623,0.300,0.027,0.051
1363.000,2.471,7.188,1.000,0.420,1.000,3.000,0.189,0.211,0.546,0.492,0.098,0.096
8804.000,2.518,5.325,1.000,0.580,3.000,1.000,0.076,0.211,0.477,0.283,0.071,0.053
1806.000,2.908,5.565,1.000,0.570,3.000,1.000,0.119,0.140,0.405,0.046,0.022,0.015
